#cluster_id	cluster_type	1to1_type	proteome_count	percentage_at_target_count
OG0001083	shared	true	23	1.00
OG0001084	shared	true	23	1.00
OG0001085	shared	true	23	1.00
OG0001086	shared	true	23	1.00
OG0001087	shared	true	23	1.00
OG0001088	shared	true	23	1.00
OG0001089	shared	true	23	1.00
OG0001090	shared	true	23	1.00
OG0001091	shared	true	23	1.00
OG0001092	shared	true	23	1.00
OG0001093	shared	true	23	1.00
OG0001094	shared	true	23	1.00
OG0001095	shared	true	23	1.00
OG0001096	shared	true	23	1.00
OG0001097	shared	true	23	1.00
OG0001098	shared	true	23	1.00
OG0001099	shared	true	23	1.00
OG0001100	shared	true	23	1.00
OG0001101	shared	true	23	1.00
OG0001102	shared	true	23	1.00
OG0001103	shared	true	23	1.00
OG0001104	shared	true	23	1.00
OG0001105	shared	true	23	1.00
OG0001106	shared	true	23	1.00
OG0001107	shared	true	23	1.00
OG0001108	shared	true	23	1.00
OG0001109	shared	true	23	1.00
OG0001110	shared	true	23	1.00
OG0001111	shared	true	23	1.00
OG0001112	shared	true	23	1.00
OG0001113	shared	true	23	1.00
OG0001114	shared	true	23	1.00
OG0001115	shared	true	23	1.00
OG0001116	shared	true	23	1.00
OG0001117	shared	true	23	1.00
OG0001118	shared	true	23	1.00
OG0001119	shared	true	23	1.00
OG0001120	shared	true	23	1.00
OG0001121	shared	true	23	1.00
OG0001122	shared	true	23	1.00
OG0001123	shared	true	23	1.00
OG0001124	shared	true	23	1.00
OG0001125	shared	true	23	1.00
OG0001126	shared	true	23	1.00
OG0001127	shared	true	23	1.00
OG0001128	shared	true	23	1.00
OG0001129	shared	true	23	1.00
OG0001130	shared	true	23	1.00
OG0001131	shared	true	23	1.00
OG0001132	shared	true	23	1.00
OG0001133	shared	true	23	1.00
OG0001134	shared	true	23	1.00
OG0001135	shared	true	23	1.00
OG0001136	shared	true	23	1.00
OG0001137	shared	true	23	1.00
OG0001138	shared	true	23	1.00
OG0001139	shared	true	23	1.00
OG0001140	shared	true	23	1.00
OG0001141	shared	true	23	1.00
OG0001142	shared	true	23	1.00
OG0001143	shared	true	23	1.00
OG0001144	shared	true	23	1.00
OG0001145	shared	true	23	1.00
OG0001146	shared	true	23	1.00
OG0001147	shared	true	23	1.00
OG0001148	shared	true	23	1.00
OG0001149	shared	true	23	1.00
OG0001150	shared	true	23	1.00
OG0001151	shared	true	23	1.00
OG0001152	shared	true	23	1.00
OG0001153	shared	true	23	1.00
OG0001154	shared	true	23	1.00
OG0001155	shared	true	23	1.00
OG0001156	shared	true	23	1.00
OG0001157	shared	true	23	1.00
OG0001158	shared	true	23	1.00
OG0001159	shared	true	23	1.00
OG0001160	shared	true	23	1.00
OG0001161	shared	true	23	1.00
OG0001162	shared	true	23	1.00
OG0001163	shared	true	23	1.00
OG0001164	shared	true	23	1.00
OG0001165	shared	true	23	1.00
OG0001166	shared	true	23	1.00
OG0001167	shared	true	23	1.00
OG0001168	shared	true	23	1.00
OG0001169	shared	true	23	1.00
OG0001170	shared	true	23	1.00
OG0001171	shared	true	23	1.00
OG0001172	shared	true	23	1.00
OG0001173	shared	true	23	1.00
OG0001174	shared	true	23	1.00
OG0001175	shared	true	23	1.00
OG0001176	shared	true	23	1.00
OG0001177	shared	true	23	1.00
OG0001178	shared	true	23	1.00
OG0001179	shared	true	23	1.00
OG0001180	shared	true	23	1.00
OG0001181	shared	true	23	1.00
OG0001182	shared	true	23	1.00
