FamilyID	TaxonID	Count	Change	Pvalue
GH2	32	5	0	0.75929
GH2	33	5	0	0.673464
GH2	31	5	1	0.40108
GH2	38	8	0	0.600292
GH2	39	8	0	0.74797
GH2	Sporothrix_humicola_CBS118129	11	0	0.595658
GH2	40	8	0	0.733561
GH2	46	7	0	0.60355
GH2	47	7	0	0.625169
GH2	42	11	3	0.0583084
GH2	44	7	-1	0.276865
GH2	Sporothrix_pseudoabietina_VPRI43531	6	0	0.574074
GH2	Sporothrix_variecibatus_CBS121961	15	7	8.22232e-07
GH2	Sporothrix_protearum_CBS116654	7	-1	0.527217
GH2	Sporothrix_dimorphospora_CBS55374	11	0	0.841158
GH2	45	7	0	0.778722
GH2	Sporothrix_mexicana_CBS120341	13	2	0.0445672
GH2	48	11	3	0.0345257
GH2	Sporothrix_euskadiensis_VPRI43754	5	-1	0.112159
GH2	Sporothrix_pallida_CBS13156	11	0	0.595658
GH2	41	6	-2	0.0156006
GH2	43	11	0	0.642166
GH2	49	6	0	0.666807
GH2	Sporothrix_phasma_CBS119721	3	-4	0.00481848
GH2	56	10	4	0.027046
GH2	Sporothrix_schenckii_1099	7	0	0.594323
GH2	Sporothrix_globosa_CBS120340	7	0	0.688571
GH2	Sporothrix_brasiliensis_5110	7	0	0.594323
GH2	Sporothrix_curviconia_CBS95973	11	2	0.16282
GH2	Sporothrix_luriei_CBS93772	6	-1	0.376107
GH2	50	6	0	0.691137
GH2	57	4	-1	0.604271
GH2	Sporothrix_epigloea_CBS119000	1	0	0.589156
GH2	Sporothrix_epigloea_CBS57363	1	0	0.540165
GH2	55	1	0	0.555355
GH2	Sporothrix_inflata_CBS23968	13	2	0.111408
GH2	53	9	3	0.00113
GH2	Sporothrix_thermara_CBS139747MAG	3	-3	0.033267
GH2	54	1	-5	1.89393e-05
GH2	Sporothrix_epigloea_TF4163	0	-1	0.0598277
GH2	Sporothrix_nigrograna_VPRI43755	2	-4	0.0232388
GH2	Sporothrix_eucalyptigena_CBS139899	10	0	0.509167
GH2	Sporothrix_eucalyptigena_CBS140593	10	0	0.509167
GH2	Ophiostoma_novoulmi_H327	3	-1	0.522697
GH2	Ophiostoma_ips_VPRI43529	4	0	0.823934
GH2	Sporothrix_brunneoviolacea_CBS124561	8	3	0.123201
GH2	Ophiostoma_fasciatum_VPRI43845	3	-2	0.564906
GH2	Sporothrix_insectorum_RCEF264	6	1	0.453735
GH2	Leptographium_lundbergii_CBS138716	3	-1	0.919001
CE8	Sporothrix_bragantina_CBS47491	8	3	0.0296012
CE8	35	3	0	0.721427
CE8	36	2	-1	0.370807
CE8	32	3	0	0.692661
CE8	33	3	0	0.61804
CE8	31	3	0	0.841733
CE8	38	2	0	0.528463
CE8	39	2	0	0.59237
CE8	Sporothrix_humicola_CBS118129	3	0	0.529312
CE8	40	2	0	0.584098
CE8	46	2	0	0.533526
CE8	47	2	0	0.541781
CE8	42	3	1	0.110541
CE8	44	2	0	0.557633
CE8	Sporothrix_pseudoabietina_VPRI43531	2	0	0.526757
CE8	Sporothrix_variecibatus_CBS121961	3	1	0.0477028
CE8	Sporothrix_protearum_CBS116654	2	0	0.649999
CE8	Sporothrix_dimorphospora_CBS55374	1	-1	0.204128
CE8	45	2	0	0.62535
CE8	Sporothrix_mexicana_CBS120341	6	3	0.000111891
CE8	48	2	0	0.646798
CE8	Sporothrix_euskadiensis_VPRI43754	2	0	0.526757
CE8	Sporothrix_pallida_CBS13156	3	0	0.529312
CE8	41	2	0	0.563737
CE8	43	3	0	0.546622
CE8	49	4	1	0.0548914
CE8	Sporothrix_phasma_CBS119721	2	0	0.688396
CE8	56	7	3	0.0461897
CE8	Sporothrix_schenckii_1099	2	0	0.53016
CE8	Sporothrix_globosa_CBS120340	2	0	0.569711
CE8	Sporothrix_brasiliensis_5110	2	0	0.53016
CE8	Sporothrix_curviconia_CBS95973	5	0	0.813154
CE8	Sporothrix_luriei_CBS93772	2	0	0.59774
CE8	50	4	0	0.643319
CE8	57	3	0	0.811649
CE8	Sporothrix_epigloea_CBS119000	0	0	0.5
CE8	Sporothrix_epigloea_CBS57363	0	0	0.5
CE8	55	0	0	0.5
CE8	Sporothrix_inflata_CBS23968	6	4	8.7319e-05
CE8	53	5	1	0.0609644
CE8	Sporothrix_thermara_CBS139747MAG	5	1	0.276973
CE8	54	0	-4	3.88838e-05
CE8	Sporothrix_epigloea_TF4163	0	0	0.5
CE8	Sporothrix_nigrograna_VPRI43755	5	1	0.375594
CE8	Sporothrix_eucalyptigena_CBS139899	7	0	0.506444
CE8	Sporothrix_eucalyptigena_CBS140593	8	1	0.00325035
CE8	Ophiostoma_novoulmi_H327	5	2	0.113546
CE8	Ophiostoma_ips_VPRI43529	0	-3	0.00747667
CE8	Sporothrix_brunneoviolacea_CBS124561	8	5	0.010411
CE8	Ophiostoma_fasciatum_VPRI43845	2	-1	0.878095
CE8	Sporothrix_insectorum_RCEF264	0	-3	0.129924
CE8	Leptographium_lundbergii_CBS138716	4	1	0.394679
GH28	Sporothrix_bragantina_CBS47491	8	3	0.0296012
GH28	35	4	0	0.759227
GH28	36	5	1	0.224234
GH28	32	4	0	0.72997
GH28	33	4	0	0.647618
GH28	31	4	0	0.866445
GH28	38	5	0	0.566717
GH28	39	5	0	0.686912
GH28	Sporothrix_humicola_CBS118129	6	0	0.556072
GH28	40	5	0	0.673464
GH28	46	5	0	0.577682
GH28	47	4	-1	0.144136
GH28	42	6	1	0.255558
GH28	44	5	0	0.626361
GH28	Sporothrix_pseudoabietina_VPRI43531	4	0	0.551386
GH28	Sporothrix_variecibatus_CBS121961	8	3	0.00235566
GH28	Sporothrix_protearum_CBS116654	3	-2	0.0411265
GH28	Sporothrix_dimorphospora_CBS55374	6	1	0.189268
GH28	45	5	0	0.734977
GH28	Sporothrix_mexicana_CBS120341	10	4	3.48289e-05
GH28	48	5	0	0.761853
GH28	Sporothrix_euskadiensis_VPRI43754	4	0	0.551386
GH28	Sporothrix_pallida_CBS13156	6	0	0.556072
GH28	41	4	-1	0.210492
GH28	43	6	0	0.586829
GH28	49	4	0	0.622829
GH28	Sporothrix_phasma_CBS119721	4	-1	0.490876
GH28	56	8	4	0.00961743
GH28	Sporothrix_schenckii_1099	4	0	0.55762
GH28	Sporothrix_globosa_CBS120340	5	0	0.648648
GH28	Sporothrix_brasiliensis_5110	4	0	0.55762
GH28	Sporothrix_curviconia_CBS95973	6	1	0.284707
GH28	Sporothrix_luriei_CBS93772	5	0	0.695333
GH28	50	4	0	0.643319
GH28	57	4	0	0.841708
GH28	Sporothrix_epigloea_CBS119000	0	0	0.5
GH28	Sporothrix_epigloea_CBS57363	0	0	0.5
GH28	55	0	0	0.5
GH28	Sporothrix_inflata_CBS23968	5	0	0.748438
GH28	53	5	1	0.0609644
GH28	Sporothrix_thermara_CBS139747MAG	4	0	0.811148
GH28	54	0	-4	3.88838e-05
GH28	Sporothrix_epigloea_TF4163	0	0	0.5
GH28	Sporothrix_nigrograna_VPRI43755	1	-3	0.0346822
GH28	Sporothrix_eucalyptigena_CBS139899	8	0	0.507354
GH28	Sporothrix_eucalyptigena_CBS140593	8	0	0.507354
GH28	Ophiostoma_novoulmi_H327	5	1	0.300606
GH28	Ophiostoma_ips_VPRI43529	4	0	0.823934
GH28	Sporothrix_brunneoviolacea_CBS124561	10	6	0.00751145
GH28	Ophiostoma_fasciatum_VPRI43845	3	-1	0.895714
GH28	Sporothrix_insectorum_RCEF264	4	0	0.714942
GH28	Leptographium_lundbergii_CBS138716	6	2	0.261632
GH78	Sporothrix_bragantina_CBS47491	10	5	0.00187646
GH78	35	5	0	0.78762
GH78	36	6	1	0.269748
GH78	32	5	0	0.75929
GH78	33	5	0	0.673464
GH78	31	5	1	0.40108
GH78	38	6	0	0.578395
GH78	39	6	0	0.710182
GH78	Sporothrix_humicola_CBS118129	9	0	0.580526
GH78	40	6	0	0.696111
GH78	46	4	0	0.563719
GH78	47	4	0	0.578401
GH78	42	8	2	0.0799361
GH78	44	4	-2	0.00719865
GH78	Sporothrix_pseudoabietina_VPRI43531	6	0	0.574074
GH78	Sporothrix_variecibatus_CBS121961	10	4	0.000289982
GH78	Sporothrix_protearum_CBS116654	2	-4	0.000956693
GH78	Sporothrix_dimorphospora_CBS55374	11	1	0.329287
GH78	45	4	0	0.705768
GH78	Sporothrix_mexicana_CBS120341	8	0	0.66387
GH78	48	10	4	0.0024611
GH78	Sporothrix_euskadiensis_VPRI43754	6	0	0.574074
GH78	Sporothrix_pallida_CBS13156	11	2	0.00535292
GH78	41	6	0	0.657929
GH78	43	9	1	0.0652679
GH78	49	5	0	0.645987
GH78	Sporothrix_phasma_CBS119721	1	-3	0.00616417
GH78	56	10	5	0.00830981
GH78	Sporothrix_schenckii_1099	3	-1	0.0868982
GH78	Sporothrix_globosa_CBS120340	5	1	0.0745929
GH78	Sporothrix_brasiliensis_5110	4	0	0.55762
GH78	Sporothrix_curviconia_CBS95973	5	0	0.813154
GH78	Sporothrix_luriei_CBS93772	1	-3	0.000515644
GH78	50	5	0	0.66875
GH78	57	5	0	0.861416
GH78	Sporothrix_epigloea_CBS119000	0	-1	0.131547
GH78	Sporothrix_epigloea_CBS57363	0	-1	0.0598277
GH78	55	1	0	0.555355
GH78	Sporothrix_inflata_CBS23968	13	3	0.0444345
GH78	53	5	0	0.626361
GH78	Sporothrix_thermara_CBS139747MAG	6	1	0.328126
GH78	54	1	-4	0.000135616
GH78	Sporothrix_epigloea_TF4163	1	0	0.540165
GH78	Sporothrix_nigrograna_VPRI43755	3	-2	0.279607
GH78	Sporothrix_eucalyptigena_CBS139899	10	0	0.509167
GH78	Sporothrix_eucalyptigena_CBS140593	11	1	0.00464322
GH78	Ophiostoma_novoulmi_H327	5	0	0.846177
GH78	Ophiostoma_ips_VPRI43529	4	-1	0.571203
GH78	Sporothrix_brunneoviolacea_CBS124561	7	2	0.280005
GH78	Ophiostoma_fasciatum_VPRI43845	3	-2	0.564906
GH78	Sporothrix_insectorum_RCEF264	5	0	0.747965
GH78	Leptographium_lundbergii_CBS138716	5	1	0.360332
GH55_2	Sporothrix_bragantina_CBS47491	9	3	0.0435868
GH55_2	35	5	0	0.78762
GH55_2	36	6	1	0.269748
GH55_2	32	5	0	0.75929
GH55_2	33	5	0	0.673464
GH55_2	31	5	2	0.0989133
GH55_2	38	6	0	0.578395
GH55_2	39	6	0	0.710182
GH55_2	Sporothrix_humicola_CBS118129	8	0	0.572617
GH55_2	40	6	0	0.696111
GH55_2	46	6	0	0.590946
GH55_2	47	6	0	0.610565
GH55_2	42	7	1	0.294856
GH55_2	44	6	0	0.645435
GH55_2	Sporothrix_pseudoabietina_VPRI43531	5	0	0.562962
GH55_2	Sporothrix_variecibatus_CBS121961	7	1	0.138998
GH55_2	Sporothrix_protearum_CBS116654	5	-1	0.46174
GH55_2	Sporothrix_dimorphospora_CBS55374	7	0	0.791421
GH55_2	45	6	0	0.758924
GH55_2	Sporothrix_mexicana_CBS120341	7	0	0.648622
GH55_2	48	7	1	0.240502
GH55_2	Sporothrix_euskadiensis_VPRI43754	5	0	0.562962
GH55_2	Sporothrix_pallida_CBS13156	10	2	0.00427371
GH55_2	41	5	-1	0.242618
